clientname,Time cost,Average memory,Number of runs,Average reward
sogbskill_teaching_inst_mdp__13,778587,184.4113456,10,-1416.36117796
sogbskill_teaching_inst_mdp__12,779090,167.2478656,10,-2375.3222288
sogbskill_teaching_inst_mdp__11,775791,122.75762719999997,10,-758.1832783999998
sogbskill_teaching_inst_mdp__10,776244,94.85537439999999,10,-78.06159638
sogbskill_teaching_inst_mdp__1,776149,92.22162240000002,10,72.45266946000004
sogbtamarisk_inst_mdp__1,777514,94.5008936,10,-254.2300000000001
sogbtamarisk_inst_mdp__10,811515,121.7874576,10,-1487.1450000000004
sogbtamarisk_inst_mdp__11,803203,103.4446056,10,-1348.5200000000004
sogbtamarisk_inst_mdp__12,882577,108.66723119999999,10,-2151.6449999999995
sogbtamarisk_inst_mdp__13,1011795,119.25575840000002,10,-2821.949999999998
sogbtamarisk_inst_mdp__14,1219061,118.75627519999998,10,-3194.573999999998
sogbtamarisk_inst_mdp__15,1414937,153.8392816,10,-3772.3109999999992
sogbtamarisk_inst_mdp__16,1959345,127.73287760000001,10,-4411.396
sogbtamarisk_inst_mdp__17,3082466,102.072632,10,-4749.873
sogbtamarisk_inst_mdp__18,3550163,63.251216,10,-4244.099
sogbtamarisk_inst_mdp__19,3596843,103.5372936,10,-4025.249
sogbtamarisk_inst_mdp__2,778125,103.41771119999999,10,-693.0610000000001
sogbtamarisk_inst_mdp__20,3644175,128.6812744,10,-3790.55
sogbtamarisk_inst_mdp__3,778745,131.37956719999997,10,-314.42700000000013
